latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,tourism
52.4826421,13.5885955,,Point,node/3111679996,2019-01-01T00:00:00Z,guest_house
52.5445411,13.5794579,,Point,node/3754423494,2019-01-01T00:00:00Z,viewpoint
52.5468238,13.5586028,,Point,node/3763316278,2019-01-01T00:00:00Z,viewpoint
52.5049527,13.5817183,,Point,node/3782185836,2019-01-01T00:00:00Z,hotel
52.5185524,13.5677944,,Point,node/3783298843,2019-01-01T00:00:00Z,information
52.4619462,13.439959,,Point,node/445821360,2019-01-01T00:00:00Z,hotel
52.3889786,13.4985679,,Point,node/262394173,2019-01-01T00:00:00Z,hotel
52.3882187,13.5069077,,Point,node/428229961,2019-01-01T00:00:00Z,hotel
52.4317936,13.419129,,Point,node/449585280,2019-01-01T00:00:00Z,viewpoint
52.4372687,13.4630698,,Point,node/456409627,2019-01-01T00:00:00Z,hotel
52.4137334,13.4019863,,Point,node/610198492,2019-01-01T00:00:00Z,hotel
52.437309,13.4624329,,Point,node/472419567,2019-01-01T00:00:00Z,hotel
52.4456665,13.4389565,,Point,node/622505079,2019-01-01T00:00:00Z,information
52.4200596,13.4562187,,Point,node/472444757,2019-01-01T00:00:00Z,guest_house
52.445329,13.439642,,Point,node/622505118,2019-01-01T00:00:00Z,information
52.447026,13.4395196,,Point,node/646977489,2019-01-01T00:00:00Z,information
52.4460839,13.441031,,Point,node/646977493,2019-01-01T00:00:00Z,information
52.3487725,13.29776,,Point,node/403763903,2019-01-01T00:00:00Z,viewpoint
52.3736616,13.2607881,,Point,node/452902201,2019-01-01T00:00:00Z,information
52.374686,13.2753791,,Point,node/452902205,2019-01-01T00:00:00Z,information
52.5082763,13.3353628,,Point,node/616121932,2019-01-01T00:00:00Z,information
52.3389752,13.3533757,,Point,node/502239481,2019-01-01T00:00:00Z,hotel
52.3482724,13.3084844,,Point,node/502249067,2019-01-01T00:00:00Z,hotel
52.3739387,13.2652577,,Point,node/545884278,2019-01-01T00:00:00Z,museum
52.3698251,13.2719878,,Point,node/685046490,2019-01-01T00:00:00Z,attraction
52.3395821,13.3540007,,Point,node/1176948529,2019-01-01T00:00:00Z,museum
52.3800096,13.1925967,,Point,node/1232146334,2019-01-01T00:00:00Z,information
52.505779,13.3395625,,Point,node/616121956,2019-01-01T00:00:00Z,artwork
52.5187387,13.5671475,,Point,node/3783298844,2019-01-01T00:00:00Z,information
52.5187516,13.5670543,,Point,node/3783298845,2019-01-01T00:00:00Z,information
52.5187528,13.5667403,,Point,node/3783298846,2019-01-01T00:00:00Z,information
52.518799,13.5642922,,Point,node/3783298847,2019-01-01T00:00:00Z,information
52.518863,13.5660275,,Point,node/3783298848,2019-01-01T00:00:00Z,information
52.5189811,13.5659977,,Point,node/3783298849,2019-01-01T00:00:00Z,information
52.4434519,13.5022281,,Point,node/559613172,2019-01-01T00:00:00Z,museum
52.5376651,13.6038573,,Point,node/3959492200,2019-01-01T00:00:00Z,theme_park
52.5277324,13.5362955,,Point,node/4071360785,2019-01-01T00:00:00Z,information
