latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,amenity,shop,layer,path
52.4592426,13.3837179,,Point,node/3051044948,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4108082,13.4029351,,Point,node/3061546254,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.454778799999985,13.3837704,,Point,node/3112756099,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4688844,13.4348609,,Point,node/3120809167,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4604033,13.3706252,,Point,node/3149329260,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.470354,13.4285249,,Point,node/3530963486,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.46752279999998,13.3851852,,Point,node/3761121276,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.436997099999985,13.4207387,,Point,node/3832565601,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4091958,13.3690919,,Point,node/3886215562,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.45713759999999,13.3842463,,Point,node/4054631163,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.469810899999985,13.4413925,,Point,node/4200634084,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4427167,13.3804584,,Point,node/4379223590,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.438783,13.380017,,Point,node/4379223592,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4450418,13.3748899,,Point,node/4379228000,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4596853,13.3823799,,Point,node/4396179979,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4693219,13.4304898,,Point,node/4544613894,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.449636,13.4362768,,Point,node/4583828564,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.465668399999984,13.3940423,,Point,node/4583828567,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.3868079,13.4046923,,Point,node/4665154495,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.386512,13.4001477,,Point,node/4748225794,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4697903,13.4259061,,Point,node/5404159223,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.46848269999999,13.3849606,,Point,node/5440526359,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4688741,13.3859568,,Point,node/5440526361,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.457978899999986,13.3847824,,Point,node/5730442372,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.411942,13.3669281,,Point,node/5779323968,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.3869008,13.4005464,,Point,node/5817114721,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.46528439999999,13.4232673,,Point,node/5926476438,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.470102699999984,13.4311295,,Point,node/6029583997,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.458595399999986,13.378178,,Point,node/6163950534,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.429687399999985,13.530639,,Point,node/115544715,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.456559699999985,13.5091314,,Point,node/262353377,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4686243,13.4678329,,Point,node/277836777,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.4310052,13.5319872,,Point,node/317550357,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.45427859999999,13.5287854,,Point,node/366935821,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.3978084,13.450207,,Point,node/382060291,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
52.388895799999986,13.503402,,Point,node/430785595,2019/01/01 00:00:00,cafe,,cafes,/Users/Julian/PycharmProjects/AirBnB/cafes.geojson
